Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg)
2022-07-14T10:30:00-04:00,2022-07-14 10:30:00,86.2,97.4,76.9,0.9,1.1,4.5,161,0,0,0.01,0.04,0.33,236.22,29.97,74,1,162.2,29.91
2022-07-14T10:25:00-04:00,2022-07-14 10:25:00,86.2,95.6,75.2,0.2,1.1,4.5,162,0,0,0.01,0.04,0.33,236.22,29.96,70,2,235,29.9
2022-07-14T10:20:00-04:00,2022-07-14 10:20:00,85.5,94.3,75,0,0,4.5,130,0,0,0.01,0.04,0.33,236.22,29.97,71,10,1099.2,29.91
2022-07-14T10:15:00-04:00,2022-07-14 10:15:00,85.5,94.3,75,0,0,4.5,130,0,0,0.01,0.04,0.33,236.22,29.97,71,10,1099.2,29.91
2022-07-14T10:10:00-04:00,2022-07-14 10:10:00,86.9,98.8,77.2,0.9,1.1,4.5,49,0,0,0.01,0.04,0.33,236.22,29.97,73,8,923.1,29.91
2022-07-14T10:05:00-04:00,2022-07-14 10:05:00,86.9,98.8,77.2,0.9,1.1,4.5,49,0,0,0.01,0.04,0.33,236.22,29.97,73,8,923.1,29.91
2022-07-14T10:00:00-04:00,2022-07-14 10:00:00,86.9,98.8,77.2,0.9,1.1,4.5,49,0,0,0.01,0.04,0.33,236.22,29.96,73,8,923.1,29.9
2022-07-14T09:55:00-04:00,2022-07-14 09:55:00,86.5,96.3,75.5,0.2,1.1,4.5,53,0,0,0.01,0.04,0.33,236.22,29.97,70,7,796.4,29.91
2022-07-14T09:50:00-04:00,2022-07-14 09:50:00,86.4,97.5,76.7,0,0,4.5,53,0,0,0.01,0.04,0.33,236.22,29.97,73,7,760,29.91
2022-07-14T09:45:00-04:00,2022-07-14 09:45:00,86.2,96,75.7,0,0,4.5,53,0,0,0.01,0.04,0.33,236.22,29.97,71,7,800.8,29.91
2022-07-14T09:40:00-04:00,2022-07-14 09:40:00,84.9,93.6,75.3,0.4,1.1,4.5,53,0,0,0.01,0.04,0.33,236.22,29.97,73,7,789.1,29.91
2022-07-14T09:35:00-04:00,2022-07-14 09:35:00,85.5,94.7,75.4,2.5,3.4,4.5,22,0,0,0.01,0.04,0.33,236.22,29.96,72,7,737.4,29.9
2022-07-14T09:30:00-04:00,2022-07-14 09:30:00,84.6,94,76.2,2.5,3.4,4.5,358,0,0,0.01,0.04,0.33,236.22,29.96,76,6,701,29.9
2022-07-14T09:25:00-04:00,2022-07-14 09:25:00,85.1,93.7,75,2.5,4.5,4.5,187,0,0,0.01,0.04,0.33,236.22,29.97,72,6,692.3,29.91
2022-07-14T09:20:00-04:00,2022-07-14 09:20:00,84.2,93,75.8,0.7,1.1,4.5,41,0,0,0.01,0.04,0.33,236.22,29.96,76,6,678.5,29.9
