"","x"
"271",519.768646965484
"272",521.459688600773
"273",491.553027622532
"274",541.427410003982
"275",523.507327983746
"276",510.160251293225
"277",495.525744307293
"278",499.902980256405
"279",489.768928510936
"280",508.010463401429
"281",493.720543451858
"282",514.217489410274
"283",573.352378883826
"284",582.903571875048
"285",536.476862705002
"286",487.795674605715
"287",490.924297677997
"288",425.274590943546
"289",437.538121839272
"290",360.423678118724
"291",410.013054649742
"292",401.163456291323
"293",310.164465481169
"294",297.515803079513
"295",340.899167657172
"296",320.428353354497
"297",338.672036392876
"298",317.945287948933
"299",237.981037477057
"300",210.06774064176
"301",201.471900930581
"302",187.298954382843
"303",159.636476638432
"304",126.457920826136
"305",109.697570226098
"306",101.294535144308
"307",75.7309079800619
"308",68.5590200580443
"309",26.9077104122481
"310",0.741753766704944
"311",-11.7709271361676
"312",-27.1038962188136
"313",-7.08617459471422
"314",-39.0980001969534
"315",-23.6322610378029
"316",-29.5333466785878
"317",-41.2564473547504
"318",-11.8353115768099
"319",1.85527091445611
"320",-14.8796200165637
"321",-70.1976811400849
"322",-52.2551466141161
"323",-42.3976868823396
"324",-32.9760190581177
"325",-37.1062372992655
"326",10.1182920507182
"327",33.7430796418543
"328",73.356396662919
"329",87.891563621839
"330",142.510178472926
"331",212.568761572143
"332",185.825085821719
"333",206.272657371898
"334",195.666224888879
"335",232.019392121136
"336",252.593419603959
"337",236.927606719966
"338",235.944032595048
"339",255.281950458039
"340",270.086993580354
"341",266.62519595192
"342",271.530633487874
"343",268.929526297323
"344",275.315928084032
"345",313.775515867778
"346",320.354375493233
"347",296.93134575958
"348",275.845550446942
"349",288.285147371776
"350",276.564965344951
"351",276.698932405754
"352",273.823566313671
"353",297.02423063434
"354",298.057056589084
"355",322.485123532074
"356",305.931592141519
"357",336.436373082209
"358",377.175374563695
"359",401.092682183272
"360",382.000986653635
"361",370.362644802718
"362",387.657199640241
"363",388.653698533412
"364",403.341089983041
"365",422.081900891879
"366",466.014344242531
"367",426.481512098338
"368",476.269821467083
"369",446.887004133271
"370",439.572136899044
"371",422.230524273046
"372",418.538258029961
"373",422.376720704301
"374",386.31178864718
"375",381.094808008235
"376",403.46170167916
"377",460.494613103191
"378",463.312810993038
"379",418.58805014095
"380",384.741911699574
"381",397.107445342625
"382",441.637041295854
"383",456.072759868946
"384",452.492374116013
"385",440.024566523419
"386",403.223291852472
"387",446.879697523077
