,0,1,2,3,4,5
64,1.0,13.75,2022.0,6.0,30.0,74.3
65,1.0,13.666666666666666,2022.0,6.0,30.0,74.1
66,1.0,13.583333333333334,2022.0,6.0,30.0,74.7
67,1.0,13.5,2022.0,6.0,30.0,74.8
68,1.0,13.416666666666666,2022.0,6.0,30.0,76.3
69,1.0,13.333333333333334,2022.0,6.0,30.0,77.5
70,1.0,13.25,2022.0,6.0,30.0,78.1
71,1.0,13.166666666666666,2022.0,6.0,30.0,78.4
72,1.0,13.083333333333334,2022.0,6.0,30.0,80.6
73,1.0,13.0,2022.0,6.0,30.0,84.7
74,1.0,12.916666666666666,2022.0,6.0,30.0,85.5
75,1.0,12.833333333333334,2022.0,6.0,30.0,86.5
76,1.0,12.75,2022.0,6.0,30.0,87.1
77,1.0,12.666666666666666,2022.0,6.0,30.0,88.7
78,1.0,12.583333333333334,2022.0,6.0,30.0,89.4
79,1.0,12.5,2022.0,6.0,30.0,89.2
80,1.0,12.416666666666666,2022.0,6.0,30.0,88.7
81,1.0,12.333333333333334,2022.0,6.0,30.0,89.1
82,1.0,12.25,2022.0,6.0,30.0,89.6
83,1.0,12.166666666666666,2022.0,6.0,30.0,89.2
84,1.0,12.083333333333334,2022.0,6.0,30.0,90.5
85,1.0,12.0,2022.0,6.0,30.0,90.9
86,1.0,11.916666666666666,2022.0,6.0,30.0,89.8
87,1.0,11.833333333333334,2022.0,6.0,30.0,91.0
88,1.0,11.75,2022.0,6.0,30.0,90.9
89,1.0,11.666666666666666,2022.0,6.0,30.0,91.4
90,1.0,11.583333333333334,2022.0,6.0,30.0,91.2
91,1.0,11.5,2022.0,6.0,30.0,90.0
92,1.0,11.416666666666666,2022.0,6.0,30.0,90.0
93,1.0,11.333333333333334,2022.0,6.0,30.0,90.0
94,1.0,11.25,2022.0,6.0,30.0,89.6
95,1.0,11.166666666666666,2022.0,6.0,30.0,89.6
96,1.0,11.083333333333334,2022.0,6.0,30.0,89.8
97,1.0,11.0,2022.0,6.0,30.0,89.1
98,1.0,10.916666666666666,2022.0,6.0,30.0,89.1
99,1.0,10.833333333333334,2022.0,6.0,30.0,89.4
100,1.0,10.75,2022.0,6.0,30.0,88.9
101,1.0,10.666666666666666,2022.0,6.0,30.0,88.0
102,1.0,10.583333333333334,2022.0,6.0,30.0,88.3
103,1.0,10.5,2022.0,6.0,30.0,88.0
104,1.0,10.416666666666666,2022.0,6.0,30.0,88.0
105,1.0,10.333333333333334,2022.0,6.0,30.0,87.6
106,1.0,10.25,2022.0,6.0,30.0,87.4
107,1.0,10.166666666666666,2022.0,6.0,30.0,87.4
108,1.0,10.083333333333334,2022.0,6.0,30.0,87.3
109,1.0,10.0,2022.0,6.0,30.0,87.3
110,1.0,9.916666666666666,2022.0,6.0,30.0,87.4
111,1.0,9.833333333333334,2022.0,6.0,30.0,86.9
112,1.0,9.75,2022.0,6.0,30.0,86.9
113,1.0,9.666666666666666,2022.0,6.0,30.0,86.5
114,1.0,9.583333333333334,2022.0,6.0,30.0,86.0
115,1.0,9.5,2022.0,6.0,30.0,86.4
116,1.0,9.416666666666666,2022.0,6.0,30.0,86.4
117,1.0,9.333333333333334,2022.0,6.0,30.0,86.0
118,1.0,9.25,2022.0,6.0,30.0,84.9
119,1.0,9.166666666666666,2022.0,6.0,30.0,84.7
120,1.0,9.083333333333334,2022.0,6.0,30.0,85.1
121,1.0,9.0,2022.0,6.0,30.0,85.1
122,1.0,8.916666666666666,2022.0,6.0,30.0,84.4
123,1.0,8.833333333333334,2022.0,6.0,30.0,84.9
124,1.0,8.75,2022.0,6.0,30.0,85.6
125,1.0,8.666666666666666,2022.0,6.0,30.0,84.6
126,1.0,8.583333333333334,2022.0,6.0,30.0,84.6
127,1.0,8.5,2022.0,6.0,30.0,85.1
128,1.0,8.416666666666666,2022.0,6.0,30.0,83.8
129,1.0,8.333333333333334,2022.0,6.0,30.0,83.7
130,1.0,8.25,2022.0,6.0,30.0,83.7
131,1.0,8.166666666666666,2022.0,6.0,30.0,82.8
132,1.0,8.083333333333334,2022.0,6.0,30.0,83.3
133,1.0,8.0,2022.0,6.0,30.0,82.9
134,1.0,7.916666666666667,2022.0,6.0,30.0,82.4
135,1.0,7.833333333333333,2022.0,6.0,30.0,82.8
136,1.0,7.75,2022.0,6.0,30.0,81.7
137,1.0,7.666666666666667,2022.0,6.0,30.0,81.3
138,1.0,7.583333333333333,2022.0,6.0,30.0,80.1
139,1.0,7.5,2022.0,6.0,30.0,80.2
140,1.0,7.416666666666667,2022.0,6.0,30.0,81.3
141,1.0,7.333333333333333,2022.0,6.0,30.0,81.0
142,1.0,7.25,2022.0,6.0,30.0,80.6
143,1.0,7.166666666666667,2022.0,6.0,30.0,79.5
144,1.0,7.083333333333333,2022.0,6.0,30.0,78.6
145,1.0,7.0,2022.0,6.0,30.0,78.3
146,1.0,6.916666666666667,2022.0,6.0,30.0,77.9
147,1.0,6.833333333333333,2022.0,6.0,30.0,77.5
148,1.0,6.75,2022.0,6.0,30.0,77.2
149,1.0,6.666666666666667,2022.0,6.0,30.0,76.8
150,1.0,6.583333333333333,2022.0,6.0,30.0,76.6
151,1.0,6.5,2022.0,6.0,30.0,76.1
152,1.0,6.416666666666667,2022.0,6.0,30.0,76.3
