,0
1392,464.5
1393,473.7
1394,506.6
1395,486.3
1396,437.2
1397,397.7
1398,382.5
1399,358.7
1400,355.3
1401,327.5
1402,331.8
1403,316.2
1404,290.2
1405,266.7
1406,248.1
1407,233.3
1408,214.2
1409,200.4
1410,177.8
1411,151.3
1412,132.2
1413,102.3
1414,77.2
1415,61.2
1416,48.9
1417,44.2
1418,39.9
1419,35.1
1420,31.2
1421,27.6
1422,19.9
1423,17.3
1424,14.7
1425,11.3
1426,7.3
1427,4.3
1428,2.1
1429,0.4
1430,1.2
1431,2.9
1432,6.0
1433,11.3
1434,15.2
1435,18.1
1436,22.5
1437,24.2
1438,25.9
1439,28.1
1440,27.3
1441,25.1
1442,28.6
1443,42.9
1444,42.5
1445,47.7
1446,60.2
1447,70.2
1448,95.8
1449,153.0
1450,139.6
1451,109.7
1452,112.3
1453,116.2
1454,119.6
1455,127.1
1456,167.4
1457,213.8
1458,209.4
1459,166.5
1460,173.0
1461,179.9
1462,177.4
1463,176.0
1464,193.1
1465,278.9
1466,199.0
1467,186.4
1468,202.6
1469,244.7
1470,232.4
1471,198.7
1472,111.4
1473,62.0
1474,83.7
1475,86.2
1476,71.1
1477,50.3
1478,39.4
1479,26.4
1480,24.2
1481,17.3
1482,21.6
1483,23.9
1484,25.9
1485,27.6
1486,32.4
1487,41.6
1488,48.1
1489,46.7
1490,72.4
1491,67.2
1492,80.3
1493,58.1
1494,46.7
1495,42.0
1496,39.9
1497,53.7
1498,51.1
1499,51.1
1500,58.5
1501,91.5
1502,177.4
1503,133.6
1504,68.9
1505,86.2
1506,103.1
1507,108.4
1508,182.2
1509,326.6
1510,832.9
1511,213.8
1512,800.0
1513,881.9
1514,389.5
1515,591.6
1516,502.7
1517,452.4
1518,845.5
1519,485.8
1520,545.3
1521,853.7
1522,813.3
1523,668.5
1524,770.0
1525,772.5
1526,761.3
1527,737.4
1528,744.8
1529,732.7
1530,743.6
1531,763.5
1532,238.1
1533,798.1
1534,266.7
1535,755.7
1536,810.7
1537,609.5
1538,729.6
1539,727.4
1540,750.0
1541,772.2
1542,717.0
1543,745.6
1544,740.0
1545,708.3
1546,721.8
1547,688.0
1548,658.9
1549,649.4
1550,642.9
1551,582.9
1552,580.4
1553,581.2
1554,559.1
1555,554.8
1556,540.0
1557,520.0
1558,488.9
1559,449.8
1560,214.2
1561,383.4
1562,351.4
1563,314.4
1564,296.2
1565,266.7
1566,239.4
1567,240.8
1568,209.4
1569,196.8
1570,178.6
1571,149.1
1572,133.1
1573,109.7
1574,94.1
1575,71.9
1576,67.7
1577,60.2
1578,54.2
1579,46.7
1580,42.9
1581,47.2
1582,37.7
1583,25.9
1584,20.8
1585,16.9
1586,12.1
1587,7.3
1588,4.3
1589,0.4
1590,0.8
1591,1.7
1592,5.1
1593,6.0
1594,14.3
1595,17.3
1596,20.3
1597,31.2
1598,49.8
1599,65.5
1600,61.2
1601,82.0
1602,75.5
1603,81.5
1604,100.6
1605,107.5
1606,132.7
1607,166.1
1608,174.3
1609,179.6
1610,191.7
1611,230.2
1612,252.9
1613,250.3
1614,148.3
1615,259.8
1616,202.1
1617,321.9
1618,346.1
1619,206.4
1620,113.7
1621,71.6
1622,62.9
1623,71.1
1624,111.0
1625,121.4
1626,134.8
1627,154.8
1628,72.8
1629,61.2
1630,62.4
1631,65.0
1632,72.8
1633,33.4
1634,31.6
1635,30.3
1636,26.8
1637,41.6
1638,80.6
1639,235.5
1640,230.2
1641,213.3
1642,184.7
1643,89.3
1644,70.2
1645,91.9
1646,104.1
1647,362.6
1648,259.8
1649,211.2
1650,387.8
1651,264.6
1652,767.8
1653,782.6
1654,818.1
1655,849.8
1656,338.3
1657,878.4
1658,817.2
1659,320.5
1660,855.4
1661,600.8
1662,287.1
1663,247.6
1664,314.9
1665,202.6
1666,215.1
1667,222.5
1668,237.7
1669,313.5
1670,309.6
1671,811.2
1672,506.2
1673,849.8
1674,844.6
1675,824.2
1676,807.7
1677,806.4
1678,806.0
1679,803.8
1680,805.6
1681,796.4
1682,789.1
1683,788.6
1684,793.4
1685,784.7
1686,717.9
1687,772.2
1688,783.0
1689,711.9
1690,559.6
1691,745.6
1692,754.8
1693,772.2
1694,767.8
1695,763.0
1696,744.4
1697,747.8
1698,743.9
1699,772.5
1700,764.7
1701,759.1
1702,750.9
1703,754.3
1704,732.7
1705,741.4
1706,710.5
1707,675.4
1708,662.0
1709,668.9
1710,634.5
1711,622.9
1712,621.2
1713,603.4
1714,569.1
1715,538.3
1716,514.9
1717,476.7
1718,426.3
1719,386.9
1720,351.4
1721,331.8
1722,307.1
1723,290.5
1724,273.7
1725,259.0
1726,227.7
1727,202.1
1728,192.1
1729,173.8
1730,104.1
1731,82.8
1732,76.7
1733,68.5
1734,55.4
1735,51.5
1736,47.7
1737,44.2
1738,41.1
1739,36.3
1740,32.4
1741,29.9
1742,25.1
1743,21.2
1744,16.4
1745,12.5
1746,8.2
1747,4.3
1748,1.7
1749,0.8
1750,0.8
1751,5.6
1752,8.6
1753,10.8
1754,13.8
1755,11.3
1756,9.9
1757,6.5
1758,7.3
1759,14.3
1760,14.7
1761,14.3
1762,9.9
1763,9.9
1764,10.4
1765,11.6
1766,16.0
1767,22.0
1768,29.0
1769,35.5
1770,47.7
1771,58.1
1772,71.9
1773,87.6
1774,89.3
1775,101.4
1776,117.1
1777,128.0
1778,155.2
1779,158.7
1780,219.0
1781,432.9
1782,357.8
1783,408.1
1784,388.2
1785,304.0
1786,213.3
1787,62.9
1788,55.0
1789,59.0
1790,78.0
1791,165.6
1792,142.6
1793,169.6
1794,209.1
1795,228.2
1796,289.3
1797,311.0
1798,344.0
1799,375.6
1800,345.7
1801,285.8
1802,327.0
1803,192.1
1804,140.4
1805,117.9
1806,176.5
1807,848.5
1808,708.0
1809,926.1
1810,410.3
1811,409.0
1812,897.5
1813,860.6
1814,278.4
1815,369.6
1816,314.4
1817,307.6
1818,298.0
1819,251.5
1820,256.8
1821,503.2
1822,1029.8
1823,867.1
1824,495.8
1825,459.7
1826,177.4
1827,263.3
1828,228.2
1829,218.1
1830,252.0
1831,1054.2
1832,207.7
1833,181.3
1834,125.8
1835,174.3
1836,155.7
1837,220.3
1838,355.3
1839,303.1
1840,337.9
1841,292.4
1842,239.4
1843,261.9
1844,332.6
1845,270.6
1846,285.8
1847,275.4
1848,816.0
1849,968.7
1850,323.1
1851,370.8
1852,927.1
1853,206.4
1854,423.3
1855,338.8
1856,916.2
1857,849.8
1858,409.5
1859,852.8
1860,828.6
1861,803.4
1862,795.2
1863,783.8
1864,802.5
1865,757.4
1866,712.7
1867,708.8
1868,711.4
1869,697.1
1870,656.3
1871,658.0
1872,627.7
1873,629.8
1874,593.8
1875,559.6
1876,521.4
1877,103.6
1878,423.3
1879,338.3
1880,349.1
1881,85.9
1882,68.5
1883,289.7
1884,279.8
1885,258.0
1886,229.9
1887,214.7
1888,193.1
1889,155.7
1890,137.5
1891,118.4
1892,110.1
1893,50.3
1894,45.9
1895,42.5
1896,39.9
1897,36.3
1898,33.8
1899,30.7
1900,28.1
1901,23.9
1902,19.9
1903,16.4
1904,12.1
1905,8.2
1906,4.3
1907,1.2
1908,0.8
1909,3.8
1910,6.8
1911,11.6
1912,14.7
1913,21.2
1914,27.6
1915,32.9
1916,42.5
1917,52.5
1918,62.4
1919,87.6
1920,103.1
1921,105.0
1922,116.6
1923,119.3
1924,167.8
1925,134.4
1926,103.1
1927,100.2
1928,112.7
1929,156.6
1930,248.9
1931,221.7
1932,225.9
1933,383.0
1934,194.8
1935,278.4
1936,206.0
1937,481.9
1938,224.2
1939,215.6
1940,196.0
1941,539.6
1942,512.7
1943,497.1
1944,234.6
1945,179.1
1946,485.8
1947,286.3
1948,547.5
1949,438.6
1950,560.9
1951,561.3
1952,622.1
1953,640.7
1954,645.9
1955,602.0
1956,347.4
1957,346.9
1958,166.1
1959,237.2
1960,348.8
1961,298.0
1962,280.1
1963,318.8
1964,404.2
1965,563.5
1966,314.4
1967,201.2
1968,204.3
1969,232.9
1970,261.6
1971,389.5
1972,614.6
1973,711.0
1974,766.1
1975,242.5
1976,701.0
1977,882.3
1978,570.5
1979,701.5
1980,664.2
1981,568.6
1982,453.7
1983,595.5
1984,632.5
1985,487.5
1986,702.7
1987,741.4
1988,634.2
1989,537.1
1990,746.5
1991,622.5
1992,646.3
1993,508.8
1994,541.8
1995,517.5
1996,516.6
1997,438.1
1998,674.6
1999,673.7
2000,689.2
2001,685.0
2002,694.5
2003,705.3
2004,749.5
2005,709.7
2006,615.1
2007,655.5
2008,665.0
2009,637.3
2010,651.9
2011,676.6
2012,739.2
2013,768.6
2014,792.5
2015,796.4
2016,766.1
2017,762.6
2018,787.7
2019,766.4
2020,786.5
2021,762.6
2022,704.0
2023,706.6
2024,712.2
2025,671.9
2026,646.3
2027,652.4
2028,621.6
2029,612.0
2030,576.5
2031,529.2
2032,502.3
2033,446.8
2034,414.7
2035,380.3
2036,351.4
2037,330.6
2038,309.3
2039,283.7
2040,269.4
2041,251.5
2042,226.8
2043,212.5
2044,186.4
2045,155.2
2046,137.5
2047,60.2
2048,57.3
2049,52.9
2050,49.8
2051,45.0
2052,43.3
2053,39.9
2054,36.3
2055,32.9
2056,29.9
2057,25.6
2058,21.6
2059,16.9
2060,12.1
2061,7.7
2062,4.3
2063,2.1
2064,0.8
2065,3.4
2066,8.2
2067,9.9
2068,14.3
2069,16.9
2070,20.3
2071,23.4
2072,27.6
2073,33.4
2074,37.7
2075,42.9
2076,50.6
2077,68.0
2078,90.7
2079,126.6
2080,180.4
2081,194.3
2082,231.6
2083,244.7
2084,290.2
2085,335.3
2086,346.9
2087,246.8
2088,279.8
2089,171.3
2090,164.3
2091,151.3
2092,124.4
2093,111.4
2094,96.7
2095,99.3
2096,73.7
2097,53.7
2098,48.6
2099,47.2
2100,42.5
2101,41.1
2102,45.0
2103,44.6
2104,37.7
2105,90.2
2106,151.3
2107,173.5
2108,186.4
2109,226.4
2110,347.4
